exceedance,flowMean,flowMax,flowMin,volume
0,2342,9912,342,26963661
0.01,2161.820000000001,9131.880000000005,337.05,24884065.02000001
0.02,2119.8199999999997,8569.319999999998,337,24397508.04
0.03,1905.6000000000004,7082.630000000002,321.48,21932530.570000004
0.04,1873.0799999999997,6369.799999999995,314.28,21612366.88
0.05,1789.3499999999997,6166.249999999999,291.19999999999993,20656829.849999998
0.06,1753.9799999999996,6157,290,20191646.639999993
0.07,1724.1,6102.129999999999,283.48999999999995,19898075.849999998
0.08,1710.96,5891.92,283,19696164.6
0.09,1701.81,5812.12,283,19585915.2
0.1,1622.7000000000007,5750.200000000001,281.20000000000005,18676735.200000007
0.11,1612.22,5670.13,276.55,18561583.84
0.12,1606.72,5643.4,273.36,18534486.44
0.13,1585.9899999999998,5600.11,265.16999999999996,18309421.459999997
0.14,1565.8,5544.9800000000005,263.14,18026334.82
0.15,1539.1999999999998,5520.849999999999,263,17718465.749999996
0.16,1523.24,5493.64,262.15999999999997,17533495.68
0.17,1506.89,5412.64,260.34000000000003,17349299.15
0.18,1499.08,5323.200000000001,259.18,17259991.8
0.19,1489.9,5247.870000000001,257.38,17154131.64
0.2,1475.2,5190.8,255.4,16983097.8
0.21,1405.6400000000008,5030.690000000001,255,16184034.380000008
0.22,1382.54,4864.639999999999,251.1,15952700.18
0.23,1362.52,4788.1900000000005,247.69,15731250.05
0.24,1356.24,4776,244.71999999999997,15624074.44
0.25,1349.25,4696.5,242.5,15533839
0.26,1344.78,4670,242,15481726.82
0.27,1336.7,4605.759999999999,240.54,15416722.799999999
0.28,1334,4533.04,240,15368690.88
0.29,1321.9299999999998,4490.57,237.86999999999998,15245745.409999998
0.3,1308.6,4458.6,236.3,15104912
0.31,1296.7199999999998,4436.58,231.1699999999999,14943253.069999998
0.32,1265.1199999999997,4078.7599999999966,229,14565782.479999997
0.33,1241.95,3910.32,225.64999999999998,14299013.98
0.34,1233.7,3897.7799999999997,223.33999999999997,14201761.66
0.35,1226.8000000000002,3854.9500000000003,223,14120107.700000001
0.36,1224,3835,223,14084876.68
0.37,1219.59,3824.29,221.74,14060320.45
0.38,1209.56,3818,221,13940180.780000001
0.39,1176.94,3765.54,219.17000000000002,13551711.790000001
0.4,1154.8,3706.7999999999997,217.4,13301981.8
0.41,1150.82,3665.8100000000004,217,13263428.97
0.42,1145.94,3640.88,217,13197168.9
0.43,1133.3100000000002,3623.03,214.72000000000003,13043605.410000002
0.44,1125.44,3612.88,212.44,12953380.72
0.45,1120.6,3597.15,212,12899632.3
0.46,1113.76,3567.7200000000003,212,12819780.16
0.47,1104.1100000000001,3501.5900000000006,212,12707830.540000001
0.48,1092.28,3456,210.96,12573161.360000001
0.49,1087,3456,208.98000000000002,12510965.33
0.5,1086.5,3422.5,208,12504406
0.51,1083.55,3378.22,207.51,12472634.209999999
0.52,1077.6399999999999,3356.44,205.56,12420257.6
0.53,1067.8899999999999,3339.83,204,12311044.669999998
0.54,1046.74,3334,204,12065834.66
0.55,1025.5,3311.5,204,11834699
0.56,1013.4,3272.56,202.67999999999998,11682528.079999998
0.57,1001.99,3248.9700000000003,201,11535692.770000001
0.58,998,3201.7200000000003,200.58,11489393.56
0.59,991.85,3132.09,199.18,11417044.120000001
0.6,980.2,3087.2000000000003,198,11281861
0.61,971.71,3054.47,198,11186274.04
0.62,963.86,3021.2799999999997,198,11095109.48
0.63,960.52,2949.6000000000004,197.63,11054762.45
0.64,955.48,2866.8,197,11000436.2
0.65,945.05,2850.85,197,10890031.549999999
0.66,917.6799999999998,2818.8199999999997,197,10584546.699999997
0.67,883.6899999999999,2761.0699999999997,196.67,10172925.16
0.68,874.1999999999999,2726.8399999999997,195.68,10071186.92
0.69,862.45,2635.9500000000007,195,9954689.68
0.7,852.4000000000001,2519.1,194.7,9826750
0.71,831.4900000000001,2488.75,192.55,9574036.680000002
0.72,813.24,2469.04,189,9379048.72
0.73,800.46,2425.39,188.73,9217865.65
0.74,796.14,2313.2000000000003,188,9174134.620000001
0.75,786,2273.25,188,9068853.25
0.76,778.8,2220,185.83999999999997,8979045.16
0.77,770.63,2186.19,178.77,8871860.7
0.78,750.9399999999999,2060.8999999999996,177.56,8647908.62
0.79,732.37,1999.5199999999995,176,8431041.59
0.8,724.8,1915.1999999999998,175.8,8344357.999999999
0.81,700.7699999999999,1847.6399999999999,174.62,8067995.579999999
0.82,684.48,1806.2400000000002,172.82,7883497.920000001
0.83,670.45,1761.1300000000006,172,7725475.570000001
0.84,657.6800000000001,1657.3200000000002,171.68,7589505
0.85,653.75,1592.25,170,7527657.600000001
0.86,637.5,1571,169.02,7340155.58
0.87,613.79,1557.3500000000001,162.35,7065650.71
0.88,598.28,1462.28,158,6885729.28
0.89,592.78,1429.83,157.89,6819791.43
0.9,589.8,1381.1999999999998,157,6791691.3
0.91,578.37,1313.6999999999998,156.91,6653895.72
0.92,570.8,1249.28,156,6573459.76
0.93,556.16,1233.9299999999996,156,6399877.669999999
0.94,543.3200000000002,1137.1200000000003,154.92000000000007,6256716.1400000015
0.95,516.5500000000001,1088.7000000000003,137.8,5943120.25
0.96,507.40000000000003,1021.7200000000004,133.76000000000002,5851815.920000001
0.97,492.25000000000006,919,128,5679749.330000001
0.98,466.9800000000001,918.1200000000001,128,5378932.260000001
0.99,416.54,874.76,128,4792362.54
1,371,851,128,4277814
