1,2,3,4,5,6,7,8,9,10,11,12,exceedance
446,546,833,1712,8627,7963,7415,5262,2829,1321,712,505,0
423.23000000000013,539.07,806.2700000000001,1699.13,4828.37000000002,7263.070000000003,6047.810000000007,4673.940000000003,2479.530000000002,1221.0100000000004,689.2300000000001,482.23000000000013,0.01
384.77999999999986,484.1199999999998,761.8999999999999,1656.86,4138.299999999997,6870.859999999999,5704.719999999998,4224.059999999999,2320.1799999999994,1053.3999999999994,672.3399999999999,436.91999999999985,0.02
363.63,451.96000000000004,745.48,1644.3600000000001,3646.7900000000004,6518.650000000001,5422.52,3890.05,2142.4,1033.51,583.7300000000001,429.21000000000004,0.03
352.43999999999994,421.2399999999998,739.24,1401.119999999998,3356.4799999999977,5798.559999999994,5321.839999999999,3876.16,2130.2799999999997,1032.04,569.4799999999999,418.43999999999994,0.04
342.5,415.25,709.55,1284.5999999999997,3148.3499999999995,5621.75,5109.95,3780.0499999999997,2076.7999999999997,1029.15,564.25,415.15,0.05
332.5999999999999,384.9199999999996,622.4599999999989,1239.5199999999995,3031.779999999999,4804.65999999999,4898.779999999997,3592.6399999999976,1913.259999999998,984.8199999999995,554.5999999999999,409.3599999999999,0.06
327.34999999999997,383,605.8399999999999,1226.77,2862.2499999999986,4742.7699999999995,4827.41,3517.7599999999993,1876.0299999999997,970.8399999999999,543.77,407.14,0.07
315.03999999999996,383,599.48,1209.44,2652.2,4462.32,4788.96,3490,1858.36,967.24,541.16,403.32,0.08
310.36,381.18,592.63,1022.3600000000007,2526.7100000000005,4423.4400000000005,4735.95,3405.1900000000005,1834.25,906.0300000000002,537.36,381.1600000000001,0.09
306.40000000000003,379.20000000000005,580.3000000000001,995.0000000000001,2475.5000000000005,4409.400000000001,4721.1,3325.000000000001,1818.5000000000002,878.4000000000002,528.0000000000001,378.1,0.1
303.33,362.09,574.55,958.4,2348.18,4290.5199999999995,4674.61,3225.33,1780.51,857.31,518.1,371.77,0.11
296.84000000000003,352.96000000000004,574,939.9200000000001,2296.92,4151.040000000001,4588.040000000001,3199.04,1761.04,840.9200000000001,511.72,370.12,0.12
294.26,351.13,569.65,934.52,2177.1599999999994,4069.62,4533.5,3191.7799999999997,1757.26,833.78,508.39,364.78,0.13
292.28,347.56,564.7,928.84,2018.1000000000001,4043.66,4404.02,3172.94,1751.84,826.12,499.4,358.84000000000003,0.14
292,346.15,561.4499999999999,920.3499999999999,1971.1999999999998,3961.099999999999,4310.049999999999,3141.95,1713.5999999999997,816.4999999999999,492.04999999999995,358,0.15
286.12,341.79999999999995,552.5999999999999,904.7199999999999,1964.48,3871.3999999999996,4291.96,3131.12,1643.1599999999999,811.64,491,357.15999999999997,0.16
285,338.51,546.85,890.38,1866.0600000000002,3711.7500000000005,4237.05,3098.46,1629.34,808.51,486.02,351.19,0.17
281.72,338,544.36,881.44,1783.6800000000005,3670.52,4194.84,3051.0000000000005,1625.72,807.1800000000001,484.18,349.18,0.18
278.57000000000005,333.1400000000001,544,875.95,1768.38,3629.120000000001,4170.18,3020.13,1623.38,796.4700000000001,483.19,340.09000000000015,0.19
