date,datetime,days,waterYear,waterWeek,flowMean,flowMin,flowMax,flowMedian,flowChange,volume,flowMeanVariance,flowMeanCalWeeklyExceedance
-1428019200000,1924-10-01T02:00:00.000+02:00,7,1924,1,136,136,136,136,0,83,-0.45161290322580644,0.9799828473413379
-1427414400000,1924-10-08T02:00:00.000+02:00,7,1924,2,136,136,136,136,0,83,-0.4309623430962343,0.9799317406143344
-1426809600000,1924-10-15T02:00:00.000+02:00,7,1924,3,136,134,136,136,-3,82,-0.41630901287553645,1
-1426204800000,1924-10-22T02:00:00.000+02:00,7,1924,4,132,128,139,128,-9,80,-0.43829787234042555,1
-1425600000000,1924-10-29T02:00:00.000+02:00,7,1924,5,131,128,135,130,7,79,-0.45643153526970953,1
-1424995200000,1924-11-05T02:00:00.000+02:00,7,1924,6,139,137,147,137,11,84,-0.44621513944223107,0.9899324324324323
-1424390400000,1924-11-12T02:00:00.000+02:00,7,1924,7,144,142,147,142,6,87,-0.4646840148698885,1
-1423785600000,1924-11-19T02:00:00.000+02:00,7,1924,8,164,156,174,165,18,99,-0.4402730375426621,0.9899921568627451
-1423180800000,1924-11-26T02:00:00.000+02:00,7,1924,9,190,178,197,192,18,115,-0.41896024464831805,0.9896078431372549
-1422576000000,1924-12-03T02:00:00.000+02:00,7,1924,10,231,201,250,242,45,140,-0.37567567567567567,0.9495918367346938
-1421971200000,1924-12-10T02:00:00.000+02:00,7,1924,11,262,250,269,263,16,159,-0.36561743341404357,0.9396642685851319
-1421366400000,1924-12-17T02:00:00.000+02:00,7,1924,12,281,273,283,281,8,170,-0.3917748917748918,0.96
-1420761600000,1924-12-24T02:00:00.000+02:00,7,1924,13,328,283,383,328,99,198,-0.36923076923076925,0.968871287128713
-1420156800000,1924-12-31T02:00:00.000+02:00,7,1924,14,517,422,588,531,85,313,-0.11472602739726027,0.5538461538461537
-1419552000000,1925-01-07T02:00:00.000+02:00,7,1924,15,564,525,620,548,95,341,-0.13230769230769232,0.6166739606126914
-1418947200000,1925-01-14T02:00:00.000+02:00,7,1924,16,643,630,668,644,0,389,-0.11796982167352538,0.5268874172185428
-1418342400000,1925-01-21T02:00:00.000+02:00,7,1924,17,863,648,1164,798,366,522,0.02494061757719715,0.3180403458213254
-1417737600000,1925-01-28T02:00:00.000+02:00,7,1924,18,1157,1106,1246,1147,0,700,0.18061224489795918,0.15188405797101434
-1417132800000,1925-02-04T02:00:00.000+02:00,7,1924,19,1178,1155,1204,1175,32,713,0.02079722703639515,0.24018475750577367
-1416528000000,1925-02-11T02:00:00.000+02:00,7,1924,20,1179,1164,1200,1175,-36,713,-0.10614101592115238,0.3211524609843937
-1415923200000,1925-02-18T02:00:00.000+02:00,7,1924,21,1215,1164,1250,1241,86,735,-0.21359223300970873,0.39195979899497485
-1415318400000,1925-02-25T02:00:00.000+02:00,7,1924,22,1388,1323,1435,1388,56,840,-0.24565217391304348,0.4736701883325678
-1414713600000,1925-03-04T02:00:00.000+02:00,7,1924,23,1379,1364,1419,1364,24,834,-0.37431941923774953,0.6041994750656167
-1414108800000,1925-03-11T02:00:00.000+02:00,7,1924,24,1461,1435,1513,1445,78,884,-0.40921957137080467,0.6608108108108108
-1413504000000,1925-03-18T02:00:00.000+02:00,7,1924,25,1877,1552,2424,1839,872,1135,-0.30661248614702624,0.6383305132543712
-1412899200000,1925-03-25T02:00:00.000+02:00,7,1924,26,3184,2680,3456,3219,776,1926,0.08780321147933037,0.40558603491271816
-1412294400000,1925-04-01T02:00:00.000+02:00,7,1924,27,3318,3219,3405,3284,-186,2006,0.09216589861751152,0.398689384010485
-1411689600000,1925-04-08T02:00:00.000+02:00,7,1924,28,3074,3008,3177,3078,-169,1859,0.017207147584381206,0.4502538071065989
-1411084800000,1925-04-15T02:00:00.000+02:00,7,1924,29,3110,3008,3284,3136,150,1881,0.05032083755488011,0.42089456869009584
-1410480000000,1925-04-22T02:00:00.000+02:00,7,1924,30,3263,3177,3366,3258,81,1973,0.14250700280112044,0.3509376195943361
