waterWeek,flowMean,volumeMean,flowChangeMean,flowChangePercentMean
1,248,150,-10,-0.04067531288786128
2,239,145,-6,-0.025167566650341505
3,233,141,-4,-0.017850776260005505
4,235,142,3,0.009990335700381296
5,241,146,7,0.026269912847923002
6,251,152,11,0.03846902821809781
7,269,163,17,0.05987697439403189
8,293,177,27,0.08426682940775673
9,327,198,32,0.0898212650025024
10,370,224,39,0.09648650954634619
11,413,250,39,0.08830544580655016
12,462,279,43,0.0857776255147817
13,520,314,57,0.0999326674984196
14,584,353,54,0.08432846641179113
15,650,393,61,0.08562242601836914
16,729,441,79,0.08743014244149208
17,842,509,103,0.09010478936771783
18,980,593,136,0.08791374856191325
19,1154,698,147,0.08942230749858952
20,1319,798,156,0.09570183481584248
21,1545,935,206,0.11164375191624432
22,1840,1113,318,0.12448846027714283
23,2204,1333,272,0.1142675268897842
24,2473,1496,203,0.08890488837177075
25,2707,1637,208,0.07371830886202865
26,2927,1770,155,0.059110956200435945
27,3038,1838,26,0.02056916687190714
28,3022,1828,-30,-0.0005268515396756651
29,2961,1791,-70,-0.016993529029850546
30,2856,1727,-111,-0.034008745477005504
31,2697,1631,-162,-0.057981316801297644
32,2492,1507,-189,-0.07461733610047591
33,2267,1371,-198,-0.08996935230333192
34,2022,1223,-222,-0.11832677297074738
35,1767,1069,-213,-0.12944811380255497
36,1521,920,-208,-0.14870667630402892
37,1289,780,-186,-0.1545836134185929
38,1086,657,-160,-0.15667067899306125
39,911,551,-138,-0.15769630305525845
40,771,466,-105,-0.13931704760189206
41,660,399,-82,-0.12388587229097724
42,577,349,-60,-0.10279290999416406
43,516,312,-47,-0.08900608545656796
44,467,283,-36,-0.07616956765792261
45,429,259,-31,-0.07269119433974044
46,396,239,-26,-0.06427646430298863
47,367,222,-24,-0.06458214407280144
48,341,206,-21,-0.0632477218899749
49,318,192,-18,-0.05985909298155798
50,297,180,-17,-0.05759617946027891
51,279,169,-14,-0.05098723810063686
52,264,159,-13,-0.048812628108131556
53,256,28,0,-0.0012889431730119167
