waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy,energyExceedance,energyPctVariation,riverVolumePctVariation,riverFlowPctVariation
1939,366,921.9,192.8,25.69,105,1357,213,5307,42.9,5.92,20.2,0.247,0.0464,0.542,0,0,0,0,0,0,0.585,0.43,0.13,0.19,0.25,0,0,0,22.7,0.14,0.47,0.53,21.5,0.21944444444444455,0.06578034682080922,0.22922636103151864,0.22252252252252253
1940,365,896.9,192.8,23.19,102.4,961.7,223.4,3334,30.3,4.7,18.2,0.242,0.0549,0.528,0,0,0,0,0,0,0.569,0.38,0.068,0.25,0.3,0,0,0,12.1,0.16,0.6,0.4,29.6,0.3259259259259259,0.03687861271676298,-0.13180515759312314,-0.13360360360360357
1941,365,777.8,192.8,0,88.79,656.2,188.8,2220,20.7,3.66,14.7,0.261,0.0667,0.482,0,7,0,0,0.019,0,0.493,0.24,0.12,0.25,0.39,0,7,0.019178082191780823,6,0.18,0.71,0.29,37.6,0.8983660130718955,-0.10080924855491334,-0.4068767908309456,-0.40882882882882876
1942,365,837.2,192.8,25.56,95.57,673.5,170.2,1669,21.2,3.73,15.8,0.243,0.0887,0.459,0,0,0,0,0,0,0.531,0.26,0.13,0.27,0.34,0,0,0,5.4,0.18,0.75,0.25,39.5,0.7004587155963298,-0.03213872832369937,-0.39255014326647564,-0.3932432432432432
1943,366,875.4,192.8,0,99.66,934.2,176.4,2529,29.5,4.61,17.9,0.245,0.0799,0.452,0,2,0,0,0.0055,0,0.555,0.37,0.1,0.16,0.37,0,2,0.005479452054794521,11.6,0.16,0.61,0.39,29.7,0.4409090909090914,0.01202312138728321,-0.15472779369627504,-0.15837837837837834
1944,365,826.8,192.8,25.08,94.38,1005,195.3,3909,31.7,4.82,17.1,0.253,0.0597,0.547,0,0,0,0,0,0,0.524,0.32,0.12,0.22,0.35,0,0,0,14.6,0.15,0.54,0.46,26.1,0.748165137614679,-0.04416184971098271,-0.09169054441260743,-0.0945945945945946
1945,365,896.4,192.8,0,102.3,687.4,197.9,1571,21.7,4.04,16.9,0.262,0.0957,0.482,0,4,0,0,0.011,0,0.569,0.38,0.077,0.18,0.37,0,4,0.010958904109589041,4.8,0.19,0.78,0.22,41.3,0.3277777777777778,0.036300578034682056,-0.37822349570200575,-0.3807207207207207
1946,365,865,192.8,27.68,98.75,1252,196.6,4776,39.5,5.45,18.8,0.236,0.0463,0.478,0,0,0,0,0,0,0.549,0.37,0.13,0.23,0.27,0,0,0,20.7,0.14,0.48,0.52,21.9,0.5741379310344825,0,0.13180515759312325,0.12792792792792793
1947,366,839.1,192.8,32.26,95.52,1722,259.4,6157,54.5,6.27,20.3,0.232,0.0388,0.487,0,0,0,0,0,0,0.532,0.42,0.12,0.22,0.24,0,0,0,34.2,0.12,0.37,0.63,15.4,0.6924999999999997,-0.029942196531791882,0.5616045845272207,0.5513513513513514
1948,365,660.1,155.4,0,75.35,468.3,196.6,919.2,14.8,3.37,11.4,0.264,0.131,0.463,0,5,0,0,0.014,0,0.419,0.014,0.24,0.41,0.33,0,5,0.0136986301369863,3.4,0.23,0.77,0.23,44.6,0.9642436149312377,-0.23687861271676297,-0.5759312320916905,-0.5781081081081082
1949,365,782.5,192.8,21.38,89.32,1388,170.2,5234,43.8,5.33,18.1,0.24,0.031,0.544,0,0,0,0,0,0,0.496,0.37,0.11,0.18,0.35,0,0,0,25.7,0.12,0.41,0.59,17.9,0.8830065359477124,-0.0953757225433526,0.25501432664756446,0.25045045045045045
1950,365,874.6,192.8,0,99.84,1237,196.6,4481,39,5.5,19,0.245,0.0529,0.505,0,3,0,0,0.0082,0,0.555,0.38,0.15,0.2,0.27,0,3,0.00821917808219178,20,0.14,0.49,0.51,22.4,0.45,0.011098265895953783,0.11747851002865334,0.11441441441441441
1951,366,865.4,192.8,30.91,98.52,1606,254.6,6157,50.8,5.65,20.5,0.229,0.0392,0.478,0,0,0,0,0,0,0.549,0.46,0.044,0.22,0.27,0,0,0,30.3,0.11,0.4,0.6,17,0.567241379310345,0.0004624277456647136,0.45558739255014324,0.44684684684684683
1952,365,861.3,192.8,26.65,98.32,1504,216.8,5874,47.4,5.96,19.7,0.235,0.0444,0.481,0,0,0,0,0,0,0.546,0.39,0.12,0.28,0.21,0,0,0,27.7,0.13,0.42,0.58,18.2,0.6077464788732395,-0.0042774566473988964,0.35816618911174786,0.35495495495495494
1953,365,931.5,192.8,26.22,106.3,1111,256.9,3835,35,5.45,19.3,0.25,0.0577,0.537,0,0,0,0,0,0,0.591,0.39,0.14,0.2,0.27,0,0,0,15.7,0.16,0.55,0.45,26.6,0.1815068493150686,0.07687861271676301,0.0028653295128940235,0.0009009009009009009
1954,365,948.3,192.8,25.51,108.3,1293,211.9,3818,40.8,5.83,20.7,0.24,0.0609,0.476,0,0,0,0,0,0,0.601,0.47,0.088,0.19,0.26,0,0,0,20.1,0.14,0.51,0.49,23.2,0.12934782608695675,0.09630057803468203,0.16905444126074495,0.16486486486486487
1955,366,905.6,192.8,31.27,103.1,1785,250.3,5744,56.5,6.2,21.8,0.208,0.05,0.44,0,0,0,0,0,0,0.574,0.46,0.14,0.25,0.16,0,0,0,34.7,0.11,0.39,0.61,16,0.2925438596491226,0.04693641618497112,0.6189111747851004,0.6081081081081081
1956,365,829.2,192.8,0,94.66,1535,290,9124,48.4,5.83,19.1,0.238,0.0262,0.5,0,0,16,0,0,0.044,0.526,0.33,0.18,0.28,0.21,0,16,0.043835616438356165,29.3,0.12,0.39,0.61,17.1,0.7371559633027519,-0.041387283236994164,0.3868194842406877,0.38288288288288286
1957,365,786.9,192.8,0,89.83,2342,283.2,9912,73.9,6.22,21.7,0.211,0.0199,0.426,0,0,43,0,0,0.12,0.499,0.46,0.1,0.3,0.13,0,43,0.1178082191780822,52.2,0.084,0.29,0.71,10.6,0.8686274509803922,-0.09028901734104049,1.1174785100286535,1.10990990990991
1958,365,968.9,192.8,27.61,110.6,1117,242.4,4514,35.2,5.44,19.9,0.236,0.0526,0.487,0,0,0,0,0,0,0.614,0.38,0.18,0.29,0.16,0,0,0,15.3,0.15,0.57,0.43,27.5,0.08611898016997173,0.12011560693641615,0.008595988538682072,0.006306306306306306
1959,366,846.4,192.8,0,96.36,1150,197.9,4776,36.4,5.46,18.1,0.264,0.0571,0.53,0,8,0,0,0.022,0,0.537,0.34,0.15,0.22,0.3,0,8,0.021917808219178082,18.3,0.15,0.5,0.5,23.3,0.6620833333333332,-0.021502890173410432,0.042979942693409746,0.036036036036036036
1960,365,867,192.8,23.62,98.98,1488,203.8,6098,46.9,5.96,19.8,0.235,0.0344,0.476,0,0,0,0,0,0,0.55,0.38,0.15,0.28,0.19,0,0,0,27.1,0.13,0.42,0.58,18.5,0.5426829268292681,0.0023121387283236996,0.34383954154727797,0.34054054054054056
1961,365,926.1,192.8,34.21,105.7,1752,263.1,5641,55.2,6.51,22,0.215,0.0457,0.418,0,0,0,0,0,0,0.587,0.47,0.11,0.28,0.14,0,0,0,33.2,0.12,0.4,0.6,16.8,0.2,0.07063583815028904,0.5816618911174787,0.5783783783783784
1962,365,913.2,192.8,36.48,104.3,2119,283.2,7037,66.8,6.65,23.3,0.2,0.0382,0.424,0,0,0,0,0,0,0.579,0.53,0.085,0.26,0.12,0,0,0,43.5,0.1,0.35,0.65,13.7,0.2592105263157891,0.05572254335260121,0.9140401146131805,0.909009009009009
1963,366,1053,192.8,33.81,119.9,1030,290,2464,32.6,5.19,21.1,0.224,0.0743,0.513,0,0,0,0,0,0,0.668,0.45,0.13,0.31,0.11,0,0,0,11.5,0.16,0.65,0.35,32.3,0,0.21734104046242775,-0.06590257879656153,-0.07207207207207207
1964,365,922.7,192.8,33.16,105.3,976,261.9,2747,30.8,5.07,18.6,0.25,0.0688,0.481,0,0,0,0,0,0,0.585,0.36,0.12,0.25,0.26,0,0,0,12.2,0.16,0.6,0.4,30,0.21574074074074054,0.06670520231213878,-0.11747851002865324,-0.12072072072072072
1965,365,886.4,192.8,31.27,101.2,1224,246.5,5489,38.6,5.55,19,0.248,0.0338,0.467,0,0,0,0,0,0,0.562,0.37,0.11,0.3,0.22,0,0,0,19.6,0.14,0.49,0.51,23,0.36754385964912284,0.024739884393063558,0.10601719197707744,0.10270270270270271
1966,365,919.5,192.8,31.86,105,982.9,263.1,3456,31,5.12,18.6,0.245,0.0628,0.49,0,0,0,0,0,0,0.583,0.35,0.14,0.25,0.26,0,0,0,12.4,0.17,0.6,0.4,29.7,0.23055555555555546,0.0630057803468208,-0.11174785100286529,-0.11450450450450453
1967,366,907.5,192.8,32.26,103.3,1872,254.6,5594,59.2,6.41,22.1,0.211,0.037,0.443,0,0,0,0,0,0,0.576,0.47,0.13,0.28,0.12,0,0,0,37.1,0.11,0.37,0.63,15.3,0.28421052631578936,0.049132947976878616,0.696275071633238,0.6864864864864865
1968,365,865.7,192.8,0,98.82,2160,281.5,8558,68.1,6.7,22.5,0.199,0.0352,0.391,0,0,25,0,0,0.068,0.549,0.45,0.19,0.24,0.12,0,25,0.0684931506849315,45.6,0.098,0.33,0.67,12.7,0.5620689655172403,0.0008092485549133474,0.9512893982808022,0.9459459459459459
1969,365,1019,192.8,43,116.3,1563,337.2,4991,49.3,6.13,22.7,0.202,0.0423,0.433,0,0,0,0,0,0,0.646,0.47,0.16,0.34,0.036,0,0,0,26.6,0.12,0.46,0.54,20.7,0.02901023890784982,0.17803468208092485,0.4126074498567335,0.4081081081081081
1970,365,994.2,192.8,41.91,113.5,1086,321.2,3153,34.2,5.26,20.3,0.229,0.0716,0.467,0,0,0,0,0,0,0.631,0.4,0.15,0.28,0.17,0,0,0,13.9,0.15,0.59,0.41,29.1,0.05028328611898008,0.14936416184971105,-0.02005730659025776,-0.021621621621621623
1971,366,968.9,192.8,35.8,110.3,787.8,276.2,1856,24.9,4.77,18.3,0.249,0.0798,0.505,0,0,0,0,0,0,0.614,0.3,0.21,0.24,0.24,0,0,0,6.6,0.19,0.73,0.27,38.9,0.08611898016997173,0.12011560693641615,-0.2865329512893983,-0.2902702702702703
1972,365,825.2,192.8,24.42,94.2,592.6,228.7,1241,18.7,3.87,14.8,0.26,0.101,0.516,0,0,0,0,0,0,0.523,0.2,0.22,0.25,0.34,0,0,0,3.9,0.21,0.79,0.21,44.1,0.7559405940594056,-0.04601156069364157,-0.46418338108882523,-0.4661261261261261
1973,365,953.3,192.8,24.61,108.8,1126,208.1,2854,35.5,5.29,20.1,0.243,0.0598,0.532,0,0,0,0,0,0,0.605,0.44,0.11,0.15,0.3,0,0,0,15.4,0.15,0.57,0.43,26.9,0.1157608695652176,0.10208092485549128,0.01719197707736394,0.014414414414414415
1974,365,892.5,192.8,26.65,101.9,1612,216.8,5518,50.8,6.26,20.9,0.233,0.0438,0.472,0,0,0,0,0,0,0.566,0.45,0.12,0.18,0.26,0,0,0,29.9,0.12,0.41,0.59,17.6,0.3422222222222221,0.031791907514450865,0.45558739255014324,0.45225225225225224
1975,366,874.7,192.8,28.83,99.58,1583,239.5,5537,50.1,6.24,20.3,0.229,0.0435,0.459,0,0,0,0,0,0,0.555,0.4,0.15,0.28,0.17,0,0,0,29.8,0.12,0.41,0.59,17.5,0.44886363636363613,0.011213872832369996,0.43553008595988546,0.4261261261261261
1976,365,998.6,192.8,44.89,114,1143,337.2,2845,36,5.64,20.7,0.223,0.0755,0.42,0,0,0,0,0,0,0.633,0.4,0.14,0.42,0.038,0,0,0,15.3,0.16,0.57,0.43,27.7,0.046416382252559694,0.15445086705202316,0.03151862464183385,0.02972972972972973
1977,365,971.1,192.8,36.48,110.9,1899,273.3,6342,59.9,6.47,23.4,0.196,0.0435,0.424,0,0,0,0,0,0,0.616,0.53,0.13,0.18,0.15,0,0,0,36.5,0.11,0.39,0.61,16.2,0.08300283286118978,0.12265895953757228,0.7163323782234957,0.7108108108108108
1978,365,1052,192.8,43.99,120,1498,341.6,5397,47.3,6.23,23,0.199,0.0547,0.431,0,0,0,0,0,0,0.667,0.46,0.19,0.33,0.019,0,0,0,24.3,0.13,0.49,0.51,22.2,0.0008532423208191114,0.2161849710982659,0.3553008595988538,0.34954954954954953
1979,366,1041,192.8,39.38,118.5,1317,313.5,3065,41.6,5.68,22.3,0.211,0.062,0.44,0,0,0,0,0,0,0.66,0.46,0.15,0.28,0.11,0,0,0,19.3,0.14,0.54,0.46,25,0.010238907849829351,0.20346820809248556,0.19197707736389694,0.1864864864864865
1980,365,958.9,192.8,33.81,109.5,1159,283.2,3456,36.6,5.69,20,0.237,0.0608,0.476,0,0,0,0,0,0,0.608,0.38,0.16,0.28,0.18,0,0,0,16.6,0.16,0.55,0.45,26.2,0.10054347826086969,0.10855491329479766,0.04871060171919779,0.044144144144144144
1981,365,816.8,192.8,27.61,93.24,599,242.4,1435,18.9,3.98,14.7,0.266,0.0881,0.487,0,0,0,0,0,0,0.518,0.2,0.19,0.27,0.33,0,0,0,4.2,0.21,0.78,0.22,43.2,0.7975247524752476,-0.05572254335260121,-0.4584527220630373,-0.4603603603603604
1982,365,868.4,188.3,22.58,99.13,616.1,220.7,1140,19.4,3.9,15.5,0.252,0.111,0.535,0,0,0,0,0,0,0.551,0.23,0.23,0.23,0.31,0,0,0,3.9,0.2,0.8,0.2,44.8,0.5256097560975611,0.003930635838150263,-0.44412607449856734,-0.44495495495495496
1983,366,824.7,192.8,25.51,93.88,658.1,211.9,1780,20.8,3.75,15.4,0.255,0.0727,0.458,0,0,0,0,0,0,0.523,0.24,0.16,0.23,0.37,0,0,0,5.4,0.18,0.74,0.26,39.6,0.7584158415841581,-0.04658959537572249,-0.40401146131805155,-0.4071171171171171
1984,365,871,192.8,23.76,99.43,733.1,201.4,1930,23.1,4.31,16.6,0.265,0.0784,0.534,0,0,0,0,0,0,0.552,0.28,0.16,0.2,0.37,0,0,0,6.5,0.19,0.72,0.28,37.7,0.4939024390243903,0.006936416184971098,-0.3381088825214899,-0.3395495495495495
1985,365,792.4,192.8,23.62,90.45,756.4,203.8,3038,23.9,4.36,15.3,0.273,0.0511,0.526,0,0,0,0,0,0,0.503,0.26,0.13,0.21,0.4,0,0,0,8.6,0.18,0.64,0.36,33.2,0.8506535947712419,-0.08393063583815032,-0.31518624641833815,-0.3185585585585586
1986,365,940.4,192.8,26.94,107.3,801.3,239.5,2073,25.3,4.53,18,0.246,0.0737,0.512,0,0,0,0,0,0,0.596,0.3,0.2,0.27,0.22,0,0,0,7.3,0.18,0.71,0.29,37.2,0.1510273972602742,0.08716763005780344,-0.2750716332378223,-0.27810810810810815
1987,366,859.2,192.8,25.66,97.82,779.5,223.4,2471,24.7,4.59,16.7,0.27,0.0608,0.512,0,0,0,0,0,0,0.545,0.34,0.066,0.24,0.35,0,0,0,8,0.19,0.68,0.32,34.8,0.6151408450704223,-0.0067052023121386755,-0.2922636103151862,-0.29774774774774776
1988,365,877.1,192.8,24.61,100.1,1334,208.1,3835,42.1,5.85,19.5,0.246,0.0628,0.505,0,0,0,0,0,0,0.556,0.41,0.099,0.21,0.28,0,0,0,22.6,0.14,0.46,0.54,20.8,0.42159090909090896,0.013988439306358407,0.20630372492836685,0.2018018018018018
1989,365,773,168.6,26.95,88.24,545.3,211.9,1026,17.2,3.51,13.7,0.257,0.112,0.449,0,0,0,0,0,0,0.49,0.18,0.22,0.19,0.41,0,0,0,3.5,0.2,0.8,0.2,44.9,0.9036317567567568,-0.10635838150289018,-0.5071633237822349,-0.5087387387387388
1990,365,814.2,192.8,0,92.94,775,201.4,2321,24.4,3.94,16.1,0.254,0.0784,0.482,0,4,0,0,0.011,0,0.516,0.3,0.099,0.21,0.38,0,4,0.010958904109589041,8.3,0.16,0.66,0.34,33.4,0.8044303797468353,-0.058728323699421915,-0.3008595988538682,-0.30180180180180183
1991,366,706.7,154.6,22.1,80.45,492.9,172.6,919.2,15.6,3.3,12.3,0.259,0.111,0.417,0,0,0,0,0,0,0.448,0.036,0.33,0.22,0.41,0,0,0,3.3,0.21,0.79,0.21,45.3,0.9527996070726915,-0.18300578034682075,-0.5530085959885386,-0.5559459459459459
1992,365,795.7,192.8,24.67,90.83,878.9,163.3,3612,27.7,4.19,16.2,0.238,0.0595,0.457,0,0,0,0,0,0,0.505,0.33,0.071,0.23,0.37,0,0,0,11.5,0.15,0.58,0.42,28.7,0.8434599156118142,-0.08011560693641613,-0.20630372492836674,-0.2081981981981982
1993,365,718.1,192.8,18.84,81.97,578.6,156.8,1812,18.2,3.51,13.4,0.276,0.0891,0.459,0,0,0,0,0,0,0.455,0.21,0.12,0.17,0.5,0,0,0,4.8,0.19,0.74,0.26,39.5,0.95,-0.1698265895953757,-0.4785100286532951,-0.47873873873873873
1994,365,567.9,192.8,0,64.83,416.8,134.4,1250,13.1,2.89,10.2,0.294,0.1,0.539,0,17,0,0,0.047,0,0.36,0.13,0.085,0.22,0.57,0,17,0.04657534246575343,2.9,0.22,0.78,0.22,43.4,0.98688605108055,-0.34346820809248557,-0.6246418338108882,-0.6245045045045046
1995,366,514.5,144.6,0,58.58,370.6,127.7,851.4,11.7,2.87,8.85,0.3,0.147,0.536,0,15,0,0,0.041,0,0.326,0,0.19,0.24,0.56,0,15,0.0410958904109589,2.85,0.25,0.76,0.24,44,1,-0.4052023121387283,-0.664756446991404,-0.6661261261261261
1996,365,767.9,192.8,17,87.67,556.8,127.7,1388,17.6,3.23,14.1,0.248,0.109,0.452,0,0,0,0,0,0,0.487,0.24,0.13,0.18,0.45,0,0,0,3.5,0.18,0.8,0.2,43.6,0.9079391891891891,-0.11225433526011563,-0.495702005730659,-0.4983783783783784
1997,365,815.7,192.8,20.17,93.12,1098,155.5,3553,34.6,5.06,17.5,0.244,0.0539,0.564,0,0,0,0,0,0,0.517,0.35,0.11,0.18,0.36,0,0,0,17.1,0.15,0.51,0.49,23.6,0.80126582278481,-0.05699421965317914,-0.008595988538681867,-0.010810810810810811
1998,365,831.4,192.8,21.74,94.9,1061,171.9,3389,33.5,4.85,17.6,0.245,0.064,0.564,0,0,0,0,0,0,0.527,0.35,0.12,0.19,0.34,0,0,0,15.9,0.14,0.53,0.47,24.8,0.7270642201834862,-0.03884393063583818,-0.04011461318051572,-0.044144144144144144
1999,366,792.6,192.8,0,90.23,864.1,194.2,3367,27.3,4.21,16,0.242,0.0468,0.461,0,4,0,0,0.011,0,0.503,0.28,0.12,0.22,0.38,0,4,0.010958904109589041,11.3,0.15,0.59,0.41,29,0.85,-0.08369942196531789,-0.21776504297994265,-0.22153153153153152
2000,365,850.9,192.8,19.47,97.13,1224,138,3690,38.6,5.3,18.7,0.234,0.0624,0.49,0,0,0,0,0,0,0.54,0.38,0.12,0.19,0.31,0,0,0,19.9,0.14,0.48,0.52,22,0.6443661971830985,-0.016300578034682107,0.10601719197707744,0.10270270270270271
2001,365,884.6,192.8,0,101,799.5,198.1,2018,25.2,4.55,17.3,0.264,0.0777,0.53,0,6,0,0,0.016,0,0.561,0.31,0.15,0.24,0.3,0,6,0.01643835616438356,7.9,0.18,0.69,0.31,35.1,0.3754385964912279,0.02265895953757228,-0.27793696275071633,-0.2797297297297297
2002,365,865.7,192.8,0,98.83,1081,197.5,3892,34.1,5.25,18.3,0.252,0.0619,0.525,0,9,0,0,0.025,0,0.549,0.38,0.12,0.16,0.34,0,9,0.024657534246575342,15.8,0.15,0.54,0.46,25.4,0.5620689655172403,0.0008092485549133474,-0.022922636103151782,-0.026126126126126126
2003,366,839.8,192.8,0,95.6,1334,188.1,4431,42.2,5.63,18.9,0.246,0.0539,0.499,0,6,0,0,0.016,0,0.533,0.39,0.11,0.18,0.32,0,6,0.01643835616438356,23.3,0.13,0.45,0.55,19.9,0.6895833333333333,-0.029132947976878664,0.20916905444126088,0.2018018018018018
2004,365,872.4,192.8,0,99.59,641.2,195.8,1320,20.2,3.76,16.3,0.253,0.0991,0.476,0,6,0,0,0.016,0,0.553,0.3,0.13,0.22,0.35,0,6,0.01643835616438356,3.9,0.19,0.81,0.19,43.2,0.47682926829268335,0.008554913294797661,-0.42120343839541546,-0.4223423423423423
2005,365,879,192.8,18.38,100.3,965.3,155.5,2684,30.4,4.95,18,0.255,0.0787,0.538,0,0,0,0,0,0,0.557,0.38,0.099,0.17,0.35,0,0,0,12.4,0.16,0.59,0.41,28.9,0.4,0.016184971098265895,-0.12893982808022922,-0.1303603603603604
2006,365,870.1,192.8,25.57,99.32,1472,209.5,4670,46.4,6.07,20,0.245,0.0424,0.496,0,0,0,0,0,0,0.552,0.42,0.1,0.21,0.27,0,0,0,26.4,0.13,0.43,0.57,18.8,0.5048780487804875,0.00589595375722546,0.32951289398280803,0.3261261261261261
2007,366,926.2,192.8,27.22,105.4,1305,236.7,3345,41.3,5.51,20.5,0.241,0.0484,0.49,0,0,0,0,0,0,0.587,0.45,0.079,0.18,0.28,0,0,0,20.8,0.13,0.5,0.5,22.4,0.19965753424657529,0.07075144508670525,0.18338108882521487,0.17567567567567569
2008,365,874.2,192.8,23.53,99.8,1521,179.5,5806,48,6,20.2,0.239,0.0412,0.48,0,0,0,0,0,0,0.554,0.44,0.11,0.15,0.29,0,0,0,27.8,0.13,0.42,0.58,18.2,0.45487804878048754,0.01063583815028907,0.37535816618911183,0.37027027027027026
2009,365,896.8,192.8,25.57,102.4,1710,212.1,5180,53.9,6.38,21.4,0.225,0.0469,0.462,0,0,0,0,0,0,0.569,0.46,0.12,0.22,0.19,0,0,0,32.5,0.12,0.4,0.6,16.6,0.32629629629629636,0.03676300578034677,0.5444126074498568,0.5405405405405406
2010,365,907.7,192.8,25.21,103.6,1701,223.9,4449,53.6,6.33,21.7,0.224,0.0518,0.491,0,0,0,0,0,0,0.576,0.49,0.082,0.21,0.22,0,0,0,31.9,0.12,0.4,0.6,16.9,0.283333333333333,0.049364161849711034,0.5358166189111749,0.5324324324324324
2011,366,946.1,192.8,29.73,107.7,1217,243.7,3585,38.5,5.58,20.3,0.237,0.0625,0.469,0,0,0,0,0,0,0.6,0.43,0.11,0.2,0.27,0,0,0,18.2,0.14,0.53,0.47,24.6,0.1353260869565218,0.09375722543352603,0.10315186246418342,0.0963963963963964
