month,waterMonth,flowMean,flowMeanMax,flowMeanMin,volumeMean,flowChangeMean,flowChangePercentMean,flowMin,flowMax
10,1,239,261,224,639,-12,-0.0644661206252933,104.71595539426528,470.1789814990608
11,2,276,334,238,715,90,0.26349648855675895,102.69190328563374,647.6490191309944
12,3,432,552,335,1158,208,0.36940834296132663,189.23959739706487,1127.7267002397502
1,4,719,964,546,1926,408,0.36212680842042505,271.2725034021112,3886.0531650984353
2,5,1347,1849,978,3288,851,0.38704269338125324,389.13433285042674,9912.101149085864
3,6,2531,3253,1786,6778,1126,0.3537349467314578,512.1178294462209,9530.170697841153
4,7,2965,3377,2491,7685,-310,-0.10118278675041742,684.662796520357,8539.833006629895
5,8,2219,2730,1693,5944,-1004,-0.6122069861294384,420.5744818782827,5672.879664870554
6,9,1203,1667,811,3117,-856,-1.0660346620756262,271.2725034021112,3920.4735969240996
7,10,589,789,456,1578,-333,-0.6837641296281031,222.28284551893407,1871.7015551661648
8,11,385,451,330,1031,-121,-0.3578222713911151,177.15460408794047,905.4211276963824
9,12,288,327,254,745,-71,-0.2799575666632143,132.88914023289095,550.998310523669
